name,category_code,tag_list,description,total_money_raised,offices,city,state_code
Pumant,software,"software-development, programmers, designers, outsourcing, java, -net, android, facebook",,$1.2M,"[{'description': 'International Office', 'address1': 'Birmingham, UK', 'address2': '', 'zip_code': '', 'city': 'Birmingham', 'state_code': None, 'country_code': 'GBR', 'latitude': 52.482932, 'longitude': -1.893621}, {'description': 'Software Factory', 'address1': 'Buenos Aires, Argentina', 'address2': '', 'zip_code': '', 'city': 'Buenos Aires', 'state_code': None, 'country_code': 'ARG', 'latitude': -34.611781, 'longitude': -58.417309}]","Birmingham ,Buenos Aires ,","None ,None ,"
99designs,design,"graphic-design, crowdsourcing, online-marketplace, marketplace, crowdsourced-design",Online graphic design marketplace,$35M,"[{'description': 'United States (HQ)', 'address1': '447 Battery St.', 'address2': '3rd Floor', 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7955307, 'longitude': -122.4005983}, {'description': 'Australia', 'address1': '204 Wellington St.', 'address2': '', 'zip_code': '3065', 'city': 'Collingwood', 'state_code': None, 'country_code': 'AUS', 'latitude': -37.8026587, 'longitude': 144.9868546}, {'description': 'Europe', 'address1': 'Schlesische Str. 29-30', 'address2': '', 'zip_code': '', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': 52.4986199, 'longitude': 13.4469031}]","San Francisco ,Collingwood ,Berlin ,","CA ,None ,None ,"
Sitemasher,enterprise,"website-design-and-management-platform, saas",,C$5M,"[{'description': '', 'address1': 'Suite 200', 'address2': '326 West 5th Avenue', 'zip_code': 'V5Y1J5', 'city': 'Vancouver', 'state_code': None, 'country_code': 'CAN', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Coral Gables', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 25.705057, 'longitude': -80.271378}]","Vancouver ,Coral Gables ,","None ,FL ,"
Netbiscuits,mobile,"mobile-web, cloud-platform, adaptive-web-technology, responsive-design, mobile-web-solutions, cloud-solutions, mobile-development, cross-platfrom, html5, css, web-development",Mobile Web Development Platform,$27M,"[{'description': 'Headquarters', 'address1': 'Europaallee 10', 'address2': '', 'zip_code': '67657', 'city': 'Kaiserslautern', 'state_code': None, 'country_code': 'DEU', 'latitude': 49.4559965, 'longitude': 7.8068522}, {'description': 'Netbiscuits UK', 'address1': '25 North Row', 'address2': '', 'zip_code': 'W1K 6DG', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.513248, 'longitude': -0.1547377}, {'description': 'New York Office', 'address1': '7th Floor', 'address2': '275 Seventh Ave', 'zip_code': '10001', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'San Francisco', 'address1': 'Suite 2200', 'address2': '425 Market Street', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7550372, 'longitude': -122.4264417}]","Kaiserslautern ,London ,New York ,San Francisco ,","None ,None ,NY ,CA ,"
Gnodal,network_hosting,"design, infrastructure, systems",High Performance Datacenter,$2.19M,"[{'description': 'Registered Office', 'address1': '178-180 Hotwell Road', 'address2': '', 'zip_code': 'BS8 4RP', 'city': 'Bristol', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'description': 'US Sales & Marketing', 'address1': '2225 East Bayshore Rd', 'address2': 'Suite 200', 'zip_code': '94303', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Bristol ,Palo Alto ,","None ,CA ,"
Moonfruit,design,,,$2.25M,"[{'description': 'UK Office', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}]","London ,","None ,"
EasyLink,network_hosting,"easylink, india, web-design, web-application-development, web-hosting",,$5.4M,"[{'description': None, 'address1': 'C-Block, 1st floor, Bharathiar Complex', 'address2': '100 feet road, Vadapalani', 'zip_code': '600028', 'city': 'Chennai', 'state_code': None, 'country_code': 'IND', 'latitude': None, 'longitude': None}]","Chennai ,","None ,"
Wix,web,"website, widget, design, flash, internet",Drag-and-Drop Web Publishing Platform,$58.5M,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Tel Aviv', 'state_code': None, 'country_code': 'ISR', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Tel Aviv ,San Francisco ,","None ,CA ,"
DoNanza,web,"freelance, search, freelance-jobs, freelance-tools, online-project, jobsearch, job-board, writers, designers, developers",Freelance jobs search and tools,$1M,"[{'description': 'Israel Office', 'address1': 'Gruzenberg Str.', 'address2': '', 'zip_code': '67448', 'city': 'Tel Aviv', 'state_code': None, 'country_code': 'ISR', 'latitude': None, 'longitude': None}]","Tel Aviv ,","None ,"
Access Point,advertising,"web-design, web-development, logo-design, branding",,$4.5M,"[{'description': 'Iasi Office', 'address1': 'Socola 134a', 'address2': '', 'zip_code': '700187', 'city': 'Iasi', 'state_code': None, 'country_code': 'ROM', 'latitude': None, 'longitude': None}]","Iasi ,","None ,"
