name,latitude,longitude,data,distance,city
Netbiscuits,51.513248,-0.1547377,Design company,,London
Moonfruit,51.51913,-0.11016,Design company,,London
London City Airport (LCY),51.504029,0.049552,Airport,14166.0,London
Home Star Childcare,51.513242,-0.141109,Preschool,942.0,London
Netley Primary School,51.527677,-0.140121,Primary and Secondary School,1910.0,London
Marble Arch,51.513632,-0.158366,Train Station,248.0,London
Annabel's,51.509132,-0.146903,Night Clubs,701.0,London
Plants by De,51.513315,-0.15004,Vegan Restaurant,316.0,London
Tabard Gardens - Basketball Court,51.514811,-0.174869,Basketball Stadium,1397.0,London
Starbucks,51.514326,-0.152723,Starbucks,241.0,London
Jessica's Dog Grooming,51.5141844,-0.1863357,Dog Grooming,1500.0,London
