name,latitude,longitude,data,distance,city
Gilt Groupe,40.74727,-73.9800645,Design company,,New York
Squarespace,40.72081,-74.00087,Design company,,New York
Banyan Branch,40.69517,-73.9323,Design company,,New York
Netbiscuits,40.69517,-73.9323,Design company,,New York
LaGuardia Airport (LGA),40.774527,-73.871941,Airport,10447.0,New York
Metrokids Preschool,40.748664,-73.970435,Preschool,1563.0,New York
Xavier High School,40.738023,-73.994868,Primary and Secondary School,841.0,New York
MTA Subway - 23rd St,40.740187,-73.986656,Train Station,122.0,New York
Hidden Lane Bar,40.734657,-73.987662,Night Clubs,623.0,New York
24th St Vegan Cafe,40.738894,-73.980623,Vegan Restaurant,356.0,New York
Basketball Gym At The Dylan,40.746752,-73.985298,Basketball Stadium,749.0,New York
Starbucks,40.740519,-73.984355,Starbucks,91.0,New York
Reme's Oggi Pets,40.75687,-73.964245,Dog Grooming,2569.0,New York
