name,latitude,longitude,data,distance,city
Digg,37.764726,-122.394523,Design company,,San Francisco
Wix,37.75672,-122.40507,Design company,,San Francisco
99designs,37.7955307,-122.4005983,Design company,,San Francisco
Minted,37.797435,-122.403175,Design company,,San Francisco
Netbiscuits,37.7550372,-122.4264417,Design company,,San Francisco
Oakland International Airport (OAK),37.712395,-122.213323,Airport,19161.0,San Francisco
Imane's Wonderschool,37.78074,-122.407515,Preschool,1834.0,San Francisco
Jean Parker Elementary School,37.797687,-122.411024,Primary and Secondary School,693.0,San Francisco
Montgomery St BART Station,37.788862,-122.402116,Train Station,888.0,San Francisco
Monroe,37.797885,-122.405014,Night Clubs,210.0,San Francisco
Enjoy Vegetarian Restaurant,37.795836,-122.405323,Vegan Restaurant,203.0,San Francisco
Alice Marble Basketball Court,37.801449,-122.420352,Basketball Stadium,1580.0,San Francisco
Starbucks,37.794601,-122.402669,Starbucks,257.0,San Francisco
Bow Wow Meow,37.796647,-122.421645,Dog Grooming,1639.0,San Francisco
