name,category_code,tag_list,description,total_money_raised,offices,currency,city,country_code
Zynga,games_video,"facebookapplications, games, socialnetworking, casualgames, vcmania, facebook",Network of gaming applications,860.0,"[{'description': 'SF HQ', 'address1': '365 Vermont St.', 'address2': '', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.765158, 'longitude': -122.404234}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': '', 'state_code': None, 'country_code': 'IND', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Baltimore', 'state_code': 'MD', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"San Francisco , ,Baltimore ,Los Angeles ,",USA IND USA USA 
Realtime Worlds,games_video,games,"Entertainment software, Videogames",828.0,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Dundee', 'state_code': None, 'country_code': 'GBR', 'latitude': 56.461428, 'longitude': -2.968111}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Boulder', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 40.010492, 'longitude': -105.276843}]",$,"Dundee ,Boulder ,",GBR USA 
Crispy Gamer,games_video,"videogaming, community, editorial, the-game-trust, multimedia-syndication",videogame review community,825.0,"[{'description': '', 'address1': '35 West 36th Street', 'address2': 'Suite 4W', 'zip_code': '10018', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.750597, 'longitude': -73.985273}]",$,"New York ,",USA 
Aurora Feint,games_video,,games and platforms for iPhone,766.0,"[{'description': 'HQ', 'address1': '330 Primrose Road', 'address2': 'Suite 515', 'zip_code': '94010', 'city': 'Burlingame', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"Burlingame ,",USA 
Turbine,games_video,"game, online-games, social-gaming, role-playing-games",creates and operates online games,766.0,"[{'description': None, 'address1': '60 Glacier Drive, Suite 4000', 'address2': '', 'zip_code': '', 'city': 'Westwood', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.214483, 'longitude': -71.185964}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Redwood City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.477652, 'longitude': -122.223384}]",$,"Westwood ,Redwood City ,",USA USA 
Atari,games_video,,video game software,726.0,"[{'description': 'HQ', 'address1': '417 Fifth Avenue', 'address2': '', 'zip_code': '10016', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"New York ,",USA 
Pikum,games_video,"gaming, social-networks, first-round-capital, web-2.0, gambling, betting, sports, pop-culture, competition",Online betting game,592.0,"[{'description': None, 'address1': '7 Chalcot Road', 'address2': '', 'zip_code': 'Nw1 8lh', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.539778, 'longitude': -0.152998}]",$,"London ,",GBR 
Sometrics,games_video,"analytics, social-media, social-networking, advertising, sometrics, virtual-currency, alternative-payment, micro-transactions",In-game Payment Solutions,555.0,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '90245', 'city': 'El Segundo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.048857, 'longitude': -118.251343}]",$,"El Segundo ,",USA 
Cellufun,games_video,cellufun,Mobile social gaming community,523.0,"[{'description': 'Worldwide HQ', 'address1': '33 West 19th Street', 'address2': 'Suite 329', 'zip_code': '10011', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.73993, 'longitude': -73.9930489}]",$,"New York ,",USA 
Bigpoint,games_video,"online-games, browser-games, browsergames, browser-based-online-games, free-to-play, game-portal, publisher, content-provider, developer, games, mmo, mmog",developer and provider of online games,504.0,"[{'description': 'Bigpoint Headquarters', 'address1': 'Drehbahn 47-48', 'address2': '', 'zip_code': '20354', 'city': 'Hamburg', 'state_code': None, 'country_code': 'DEU', 'latitude': 53.5973055, 'longitude': 9.9762519}, {'description': 'Bigpoint Inc.', 'address1': '500 Howard St.', 'address2': 'Suite 300', 'zip_code': 'CA 94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'Bigpoint Berlin', 'address1': 'Alexander St.', 'address2': '', 'zip_code': '10178', 'city': 'Berlin', 'state_code': None, 'country_code': 'DEU', 'latitude': None, 'longitude': None}, {'description': 'Bigpoint International', 'address1': '1 Villa Zimmermann', 'address2': ""Ta 'Xbiex Terrace"", 'zip_code': 'XBX 1035', 'city': ""Ta 'Xbiex"", 'state_code': None, 'country_code': 'MLT', 'latitude': None, 'longitude': None}]",€,"Hamburg ,San Francisco ,Berlin ,Ta 'Xbiex ,",DEU USA DEU MLT 
PlaySpan,games_video,"mmog, commerce, gamecommerce",P2P in-game commerce,463.0,"[{'description': 'HQ', 'address1': '', 'address2': '', 'zip_code': '95054', 'city': 'Santa Clara', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.396312, 'longitude': -121.961396}, {'description': 'Visa Inc', 'address1': 'P.O. Box 8999', 'address2': '', 'zip_code': '94128-8999', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"Santa Clara ,San Francisco ,",USA USA 
Grockit,social,"techcrunch50, tc50, learning, grockit, gmat, mmol, mmo, children, education, testprep, testing, gaming",Online social learning games,447.0,"[{'description': '', 'address1': '500 Third Street', 'address2': 'Suite 260', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}]",$,"San Francisco ,",USA 
